scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,reason,counted_operation,operation,phase,probe_index,changed_thermometer_bits,reset_asserted,reset_release_timing,sclk_low,configuration_edge_s,settle_s,configuration_ck_edge_count,code_constant_during_probe,intended_active_ck_edge_count,q_sample_count,q_samples_same_rail,recovery_guard_s
0p95_normal,2,coarse_probe_b,0,0,0,0,coarse_probe_b,True,True,probe:0p95_normal:1,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,1,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,3,coarse_increment,0,1,0,0,,True,True,transition:0p95_normal:coarse_increment:0:1:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,4,coarse_probe_a,1,1,0,0,coarse_probe_a,True,True,probe:0p95_normal:2,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,2,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,5,coarse_probe_b,1,1,0,0,coarse_probe_b,True,True,probe:0p95_normal:3,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,3,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,6,coarse_increment,1,2,0,0,,True,True,transition:0p95_normal:coarse_increment:1:2:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,7,coarse_probe_a,2,2,0,0,coarse_probe_a,True,True,probe:0p95_normal:4,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,4,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,8,coarse_probe_b,2,2,0,0,coarse_probe_b,True,True,probe:0p95_normal:5,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,5,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,9,coarse_increment,2,3,0,0,,True,True,transition:0p95_normal:coarse_increment:2:3:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,10,coarse_probe_a,3,3,0,0,coarse_probe_a,True,True,probe:0p95_normal:6,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,6,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,11,coarse_probe_b,3,3,0,0,coarse_probe_b,True,True,probe:0p95_normal:7,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,7,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,12,coarse_increment,3,4,0,0,,True,True,transition:0p95_normal:coarse_increment:3:4:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,13,coarse_probe_a,4,4,0,0,coarse_probe_a,True,True,probe:0p95_normal:8,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,8,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,14,coarse_probe_b,4,4,0,0,coarse_probe_b,True,True,probe:0p95_normal:9,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,9,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
